"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","numero_rpls_logement","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_application_dpe","etiquette_dpe","etiquette_ges","type_batiment","annee_construction","periode_construction","type_installation_chauffage","type_installation_ecs","hauteur_sous_plafond","nombre_appartement","nombre_niveau_immeuble","nombre_niveau_logement","typologie_logement","appartement_non_visite","surface_habitable_immeuble","surface_habitable_logement","surface_tertiaire_immeuble","classe_inertie_batiment","classe_altitude","zone_climatique","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","position_logement_dans_immeuble","nom_residence","complement_adresse_batiment","complement_adresse_logement","indicateur_confort_ete","protection_solaire_exterieure","logement_traversant","presence_brasseur_air","inertie_lourde","isolation_toiture","deperditions_enveloppe","deperditions_ponts_thermiques","deperditions_murs","deperditions_planchers_hauts","deperditions_planchers_bas","deperditions_portes","deperditions_baies_vitrees","deperditions_renouvellement_air","qualite_isolation_enveloppe","qualite_isolation_murs","qualite_isolation_plancher_haut_comble_amenage","qualite_isolation_plancher_haut_comble_perdu","qualite_isolation_plancher_haut_toit_terrasse","qualite_isolation_plancher bas","qualite_isolation_menuiseries","ubat_w_par_m2_k","besoin_chauffage","besoin_ecs","besoin_refroidissement","apport_interne_saison_chauffe","apport_interne_saison_froide","apport_solaire_saison_chauffe","apport_solaire_saison_froide","conso_5_usages_ep","conso_5_usages_par_m2_ep","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","conso_5 usages_ef","conso_5 usages_par_m2_ef","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","emission_ges_5_usages","emission_ges_5_usages par_m2","emission_ges_chauffage","emission_ges_ecs","emission_ges_refroidissement","emission_ges_eclairage","emission_ges_auxiliaires","type_energie_n1","conso_5 usages_ef_energie_n1","conso_chauffage_ef_energie_n1","conso_ecs_ef_energie_n1","cout_total_5_usages_energie_n1","cout_chauffage_energie_n1","cout_ecs_energie_n1","emission_ges_5_usages_energie_n1","emission_ges_chauffage_energie_n1","emission_ges_ecs_energie_n1","type_energie_n2","conso_5 usages_ef_energie_n2","conso_chauffage_ef_energie_n2","conso_ecs_ef_energie_n2","cout_total_5_usages_energie_n2","cout_chauffage_energie_n2","cout_ecs_energie_n2","emission_ges_5_usages_energie_n2","emission_ges_chauffage_energie_n2","emission_ges_ecs_energie_n2","type_energie_n3","conso_5_usages_ef_energie_n3","conso_chauffage_ef_energie_n3","conso_ecs_ef_energie_n3","cout_total_5_usages energie_n3","cout_chauffage_energie_n3","cout_ecs_energie_n3","emission_ges_5_usages_energie_n3","emission_ges_chauffage_energie_n3","emission_ges_ecs_energie_n3","cout_total_5_usages","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_energie_principale_chauffage","type_generateur_chauffage_principal","type_installation_chauffage_n1","type_emetteur_installation_chauffage_n1","configuration_installation_chauffage_n1","description_installation_chauffage_n1","conso_chauffage_installation_chauffage_n1","surface_chauffee_installation_chauffage_n1","facteur_couverture_solaire_installation_chauffage_n1","facteur_couverture_solaire_saisi_installation_chauffage_n1","type_generateur_n1_installation_n1","type_energie_generateur_n1_installation_n1","usage_generateur_n1_installation_n1","description_generateur_chauffage_n1_installation_n1","conso_chauffage_generateur_n1_installation_n1","type_generateur_n2_installation_n1","type_energie_generateur_n2_installation_n1","usage_generateur_n2_installation_n1","description_generateur_chauffage_n2_installation_n1","conso_chauffage_generateur_n2_installation_n1","type_installation_chauffage_n2","type_emetteur_installation_chauffage_n2","configuration_installation_chauffage_n2","description_installation_chauffage_n2","conso_chauffage_installation_chauffage_n2","surface_chauffee_installation_chauffage_n2","facteur_couverture_solaire_installation_chauffage_n2","facteur_couverture_solaire_saisi_installation_chauffage_n2","type_generateur_n1_installation_n2","type_energie_generateur_n1_installation_n2","usage_generateur_n1_installation_n2","description_generateur_chauffage_n1_installation_n2","conso_chauffage_generateur_n1_installation_n2","type_generateur_n2_installation_n2","type_energie_generateur_n2_installation_n2","usage_generateur_n2_installation_n2","description_generateur_chauffage_n2_installation_n2","conso_chauffage_generateur_n2_installation_n2","type_energie_principale_ecs","type_generateur_chauffage_principal_ecs","besoin_ecs_batiment","besoin_ecs_logement","type_installation_ecs_n1","configuration_installation_ecs_n1","description_installation_ecs_n1","conso_ef_installation_ecs_n1"," nombre_logements_desservis_par_installation_ecs_n1","surface_habitable_desservie_par_installation_ecs_n1","type_installation_solaire_n1","production_ecs_solaire_installation_n1","facteur_couverture_solaire_n1","facteur_couverture_solaire_saisi_n1","type_generateur_n1_ecs_n1","type_energie_generateur_n1_ecs_n1","usage_generateur_n1_ecs_n1","description_generateur_n1_ecs_n1","volume_stockage_generateur_n1_ecs_n1","cop_generateur_n1_ecs_n1","conso_ef_generateur_n1_ecs_n1","date_installation_generateur_n1_ecs_n1","type_generateur_n2_ecs_n1","type_energie_generateur_n2_ecs_n1","usage_generateur_n2_ecs_n1","description_generateur_n2_ecs_n1","volume_stockage_generateur_n2_ecs_n1","cop_generateur_n2_ecs_n1","conso_ef_generateur_n2_ecs_n1","date_installation_generateur_n2_ecs_n1","type_ventilation","surface_ventilee","ventilation_posterieure_2012","type_generateur_froid","type_energie_climatisation","periode_installation_generateur_froid","description_generateur_froid","surface_climatisee","conso_refroidissement_annuel","categorie_enr","systeme_production_electricite_origine_renouvelable","presence_production_pv","surface_totale_capteurs_pv","nombre_module","production_electricite_pv_kwhep_par_an","electricite_pv_autoconsommee"
"2250E0803657W","2024-02-06","2022-04-14","2022-04-14","2022-04-15","2032-04-13","","","","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",2017,"2013-2021","","",2.5,"","",1,"","","",70,"","Légère","inférieur à 400m","H2a","Saint-Sauveur-Villages","","","Saint-Sauveur-Villages",50490,"50550","50",28,"50550",378135.6,6901705.94,0.35,"adresse géocodée ban à l'adresse","5 Allée Jean Monnet
50190 PERIERS
1164394-02-000-005","PERIERS","50190",0,"","","","","moyen",1,1,0,0,1,73.1,1.4,7.1,2.6,11.5,9.7,11.2,29.5,"très bonne","très bonne","","très bonne","","très bonne","bonne",0.24,1851.9,1101.8,0,2251252.3,0,1974471,0,4000.7,57,1789.8,1184.8,0,304.3,721.9,1739.5,24,778.2,515.1,0,132.3,313.9,124.2,1,61.5,33.5,0,9.1,20.1,"Électricité",1739.5,778.2,515.1,393.7,176.1,116.6,124.2,61.5,33.5,"","","","","","","","","","","","","","","","","","","","",393.7,176.1,116.6,0,29.9,71,"Électricité","PAC air/eau installée après 2017","installation individuelle","Radiateur bitube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","PAC air/eau installée à partir de 2017 (système individuel). Emetteur(s): radiateur bitube avec robinet thermostatique",778.2,70,"","","PAC air/eau installée après 2017","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",778.2,"","","","","","","","","","","","","","","","","","","","","","","","Électricité","PAC double service après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage",515.1,1,70,"Non affecté","","","","PAC double service après 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",0,2.3,515.1,"A partir de 2015","","","","","","","","","","","0","","","","","","","pompe à chaleur","","","","",0,""
"2263E0331723B","2024-02-06","2022-02-17","2022-02-17","2022-02-18","2032-02-16","","","","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",1947,"avant 1948","","",2.6,"","",2,"","","",128,"","Légère","inférieur à 400m","H1c","13 Chemin du Puits 63920 Peschadoires","13","Chemin du Puits","Peschadoires",63920,"63276","63",84,"63276_3h9eqp_00013",737403.8,6525266.42,0.49,"adresse géocodée ban à l'adresse","13 RUE DU PUITS
CROS","PESCHADOIRES","63920",0,"","","","","","","","","","",216.6,46.6,28,6.6,13.9,2.6,24.4,94.6,"très bonne","très bonne","","très bonne","","moyenne","très bonne",0.42,7992.9,1405.3,0,3152418.4,0,2278354.1,0,8875.6,69,6024.8,1511,0,547.5,792.2,3858.9,30,2619.5,657,0,238,344.4,288.1,2,206.9,42.7,0,16.4,22,"Électricité",3858.9,2619.5,657,707.6,480.3,120.5,288.1,206.9,42.7,"","","","","","","","","","","","","","","","","","","","",707.6,480.3,120.5,0,43.7,63.2,"Électricité","PAC air/eau installée après 2017","installation individuelle","Radiateur bitube avec robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","PAC air/eau installée à partir de 2017 réseau isolé (système individuel). Emetteur(s): plancher chauffant, radiateur bitube avec robinet thermostatique",2619.5,128,"","","PAC air/eau installée après 2017","Électricité","chauffage","Electrique - PAC air/eau installée à partir de 2017",2619.5,"","","","","","","","","","","","","","","","","","","","","","","","Électricité","PAC double service après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage, contenance ballon 150 L",657,1,128,"Non affecté","","","","PAC double service après 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",150,2.3,657,"A partir de 2015","","","","","","","","","","","0","","","","","","","pompe à chaleur","","","","",0,""
"2265E1039038O","2024-12-30","2022-05-11","2022-05-12","2022-05-13","2032-05-11","","","BT2HBM5G8V5J","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison","","2013-2021","","",2.5,"","",2,"","","",141.7,"","Légère","400-800m","H2c","20 Rue des Arriouats 65100 Adé","20","Rue des Arriouats","Adé",65100,"65002","65",76,"65002_0002_00020",453639.83,6230465.64,0.45,"adresse géocodée ban à l'adresse","20 Rue des Arriouats","ADÉ","65100",0,"","","","Ce bien ne fait pas partie d'une copropriété","insuffisant",0,1,0,0,1,159.7,0,18.2,9.9,25.7,3.2,37.5,65.3,"très bonne","très bonne","","très bonne","","moyenne","bonne",0.29,4436,1460.5,0,3586182.5,0,4321863.3,0,8823.5,62,6433.2,1444.8,0,643.2,302.2,6419.8,45,5380.5,628.2,0,279.7,131.4,269.6,1,201.1,40.8,0,19.3,8.4,"Bois – Bûches",4570.8,4570.8,0,146.3,146.3,0,137.1,137.1,0,"Électricité",1849,809.8,628.2,409.1,179.2,139,132.5,64,40.8,"","","","","","","","","","",555.4,325.5,139,0,61.9,29.1,"Bois – Bûches","Poêle à granulés flamme verte installé à partir de 2020","installation individuelle","Poêle bois","Installation de chauffage par insert, poêle bois (ou biomasse) avec un chauffage électrique dans la salle de bain","Poêle à granulés flamme verte installé à partir de 2020 et dans la salle de bain un/une Convecteur électrique NFC, NF** et NF*** avec programmateur avec réduit (système individuel)",4941.1,125.2,"","","Poêle à granulés flamme verte installé à partir de 2020","Bois – Bûches","chauffage","Bois - Poêle à granulés flamme verte installé à partir de 2020",4570.8,"Convecteur électrique NFC, NF** et NF***","Électricité","chauffage","Convecteur électrique NFC, NF** et NF***",370.3,"installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage simple","Panneau rayonnant électrique NFC, NF** et NF*** avec programmateur pièce par pièce (système individuel)",439.5,16.6,"","","Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Panneau rayonnant électrique NFC, NF** et NF***",439.5,"","","","","","Électricité","CET sur air extérieur après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Chauffe-eau thermodynamique sur air extérieur installé à partir de 2015, contenance ballon 300 L",628.2,1,141.7,"Non affecté","","","","CET sur air extérieur après 2014","Électricité","ecs","Electrique - Chauffe-eau thermodynamique sur air extérieur installé à partir de 2015",300,2.5,628.2,"A partir de 2015","","","","","","","","","","","0","","","","","","","Il existe plusieurs descriptifs ENR","","","","",0,""
"2266E0549293G","2024-12-30","2022-03-15","2022-03-17","2022-03-18","2032-03-16","","","PG1EFXAPMVMM","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",2019,"2013-2021","","",2.5,"","",2,"","","",123.1,"","Lourde","inférieur à 400m","H3","1 Rue Abdon Baills 66600 Espira-de-l'Agly","1","Rue Abdon Baills","Espira-de-l'Agly",66600,"66069","66",76,"66069_0012_00001",686104.69,6186462.54,0.54,"adresse géocodée ban à l'adresse","Abdon Baills","ESPIRA-DE-L'AGLY","66600","","","","","","insuffisant",1,1,0,1,1,168.2,0,37.5,6.8,13,8.2,47.7,54.9,"très bonne","bonne","","très bonne","","très bonne","moyenne",0.42,1482,1184.9,0,2492056.1,0,6644795.6,0,4741.8,38.5,2729.6,1172.6,0,537.3,302.2,2343.5,19,1468.6,509.8,0,233.6,131.4,149,1.2,91.6,33.1,0,16.1,8.4,"Électricité",1844.8,970,509.8,255,215,113,134.3,76.6,33.1,"Bois – Granulés (pellets) ou briquettes",498.7,498.7,0,29.9,29.9,0,15,15,0,"","","","","","","","","","",439,245,113,0,52,29,"Électricité","Panneau rayonnant électrique NFC, NF** et NF***","installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage avec insert ou poêle bois en appoint","Installation 1",1468.6,123.1,"","","Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Panneau rayonnant électrique NF**",970,"Poêle à granulés flamme verte installé entre 2012 et 2019","Bois – Granulés (pellets) ou briquettes","chauffage","Poêle à granulés",498.7,"","","","","","","","","","","","","","","","","","","Électricité","CET sur air extérieur après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Chauffe eau thermodynamique à accumulation",509.8,1,123.1,"Non affecté","","","","CET sur air extérieur après 2014","Électricité","ecs","Chauffe eau thermodynamique à accumulation",270,2.8,509.8,"A partir de 2015","","","","","","","","","","","0","","","","","","","","","","","",0,""
"2233E0263715F","2024-12-30","2022-02-09","2022-02-09","2022-02-10","2032-02-08","","","JQRSJEENQ62Z","","","DPE 3CL 2021 méthode logement",2,"dpe maison individuelle","A","A","maison",2015,"après 2021","","",2.5,1,1,1,"",0,"",102,"","Lourde","inférieur à 400m","H2c","10 Impasse Mount de Haut -Cazaux 33260 La Teste-de-Buch","10","Impasse Mount de Haut -Cazaux","La Teste-de-Buch",33260,"33529","33",75,"33529_2131_00010",369617.83,6391448.73,0.82,"adresse non géocodée ban car aucune correspondance trouvée","10 Impasse Mount de Haut -Cazaux","La Teste-de-Buch","33260","","","","","","insuffisant",1,1,0,0,1,147.6,6,20.7,13.8,28.6,2.8,27,48.7,"très bonne","très bonne","","très bonne","","bonne","très bonne",0.33,3085.8,1177.5,0,2492310,0,3393900,0,5810.7,56.9,3435.3,1266.2,0,462.9,344.1,3236.6,31.7,2203.8,550.5,0,201.3,149.6,102,1,112.5,35.8,0,13.9,9.6,"Électricité",1980.1,947.3,550.5,427,205,119,142.5,74.8,35.8,"Bois – Bûches",1256.5,1256.5,0,40,40,0,0,0,0,"","","","","","","","","","",467,245,119,0,43,32,"Bois – Bûches","PAC air/eau installée entre 2015 et 2016","installation individuelle","Plancher chauffant sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage avec insert ou poêle bois en appoint","Emission n°1",2203.8,102,"","","Poêle bûche installé installé de 2007 à 2017 avec label flamme verte","Bois – Bûches","chauffage","Cuisiniere, Foyer ferme, Poele buche, insert",1256.5,"PAC air/eau installée entre 2015 et 2016","Électricité","chauffage","PAC AIR/EAU",947.3,"","","","","","","","","","","","","","","","","","","Électricité","PAC double service après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Chauffe-eau thermodynamique ou PAC double service",550.5,1,102,"Non affecté","","","","PAC double service après 2014","Électricité","ecs","",0,2.3,550.5,"A partir de 2015","","","","","","","","","VMC Basse pression Hygro B",102,"1","","","","","","","Il existe plusieurs descriptifs ENR","Solaire Photovoltaïque",0,"","",0,""
"2233E0392118U","2024-12-30","2022-02-22","2022-02-26","2022-02-27","2032-02-25","","","TM89SYKQFXGZ","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",2013,"2013-2021","","",2.5,"","",1,"","","",90,"","Légère","inférieur à 400m","H2c","33 Rue du Graveron 33220 Port-Sainte-Foy-et-Ponchapt","33","Rue du Graveron","Port-Sainte-Foy-et-Ponchapt",33220,"24335","24",75,"24335_0057_00033",478836.11,6420599.17,0.52,"adresse géocodée ban à l'adresse","33 Rue du Graveron St Avit de Tizac Sud","PORT STE FOY ET PONCHAPT","33220",0,"","","","Ce bien ne fait pas partie d'une copropriété","","","","","","",134.5,3.1,29.2,12.6,18.9,2.9,27.7,40,"très bonne","bonne","","moyenne","","moyenne","bonne",0.34,3189.2,1124.3,0,2249920.7,0,2352174.2,0,4775.3,53,3164.5,556.1,0,408.4,646.3,2076.2,23,1375.9,241.8,0,177.6,281,154.6,1,108.7,15.7,0,12.3,18,"Électricité",2076.2,1375.9,241.8,441,292.3,51.4,154.6,108.7,15.7,"","","","","","","","","","","","","","","","","","","","",441,292.3,51.4,0,37.7,59.7,"Électricité","PAC air/eau installée entre 2008 et 2014","installation individuelle","Plancher chauffant sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","PAC air/eau installée entre 2008 et 2014 avec programmateur avec réduit (système individuel). Emetteur(s): plancher chauffant",1375.9,90,"","","PAC air/eau installée entre 2008 et 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée entre 2008 et 2014",1375.9,"","","","","","","","","","","","","","","","","","","","","","","","Électricité","PAC double service 2010-2014","","","installation individuelle","Un seul système d'ECS avec solaire","Combiné au système de chauffage, contenance ballon 300 L, couplé avec un système solaire",241.8,1,90,"ECS solaire seule sup 5 ans",333887.9,0.6,"","PAC double service 2010-2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée entre 2008 et 2014",300,2.1,241.8,"2010-2014","","","","","","","","","","","0","","","","","","","Il existe plusieurs descriptifs ENR","","","","",0,""
"2238E1406455Y","2024-12-30","2022-06-21","2022-06-22","2022-06-23","2032-06-21","","","BQM9Z5SSANP5","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",2019,"2013-2021","","",2.6,"","",1,"","","",141.4,"","Légère","400-800m","H1c","580 Route du Bois 38140 Beaucroissant","580","Route du Bois","Beaucroissant",38140,"38030","38",84,"38030_0040_00580",893966.01,6473453.51,0.53,"adresse géocodée ban à l'adresse","580 Route du Bois","BEAUCROISSANT","38140",0,"","","","","moyen",1,0,0,0,1,151,0,10.1,11.5,25.4,6,37.1,61,"très bonne","très bonne","","très bonne","","bonne","très bonne",0.22,5612.7,1576.5,0,4061568.3,0,4751660.4,0,8422.8,59,5395.6,1695.1,0,604.8,727.3,4904.1,34,3587.9,737,0,263,316.2,262.1,1,175.8,47.9,0,18.1,20.2,"Électricité",2706.8,1390.6,737,532.8,273.7,145.1,196.1,109.9,47.9,"Bois – Bûches",2197.3,2197.3,0,70.3,70.3,0,65.9,65.9,0,"","","","","","","","","","",603.1,344,145.1,0,51.8,62.2,"Bois – Bûches","PAC air/eau installée après 2017","installation individuelle","Plancher chauffant sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage avec insert ou poêle bois en appoint","PAC air/eau installée à partir de 2017 avec en appoint un insert installé à partir de 2018 avec label flamme verte avec programmateur pièce par pièce (système individuel). Emetteur(s): plancher chauffant",3587.9,141.4,"","","insert installé installé à partir de 2018 avec label flamme verte","Bois – Bûches","chauffage","Bois - Insert installé à partir de 2018 avec label flamme verte",2197.3,"PAC air/eau installée après 2017","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",1390.6,"","","","","","","","","","","","","","","","","","","Électricité","PAC double service après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage",737,1,141.4,"Non affecté","","","","PAC double service après 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée à partir de 2017",0,2.3,737,"A partir de 2015","","","","","","","","","","","0","","","","","","","Il existe plusieurs descriptifs ENR","","","","",0,""
"2201E0798159N","2024-12-30","2022-04-12","2022-04-14","2022-04-15","2032-04-13","","","MB98QKAE8P8H","","","DPE 3CL 2021 méthode logement",2.1,"dpe appartement individuel","A","A","appartement",2016,"2013-2021","individuel","individuel",2.5,1,"",1,"","","",66.1,"","Moyenne","inférieur à 400m","H1c","394 Rue des Lauriers 01400 Châtillon-sur-Chalaronne","394","Rue des Lauriers","Châtillon-sur-Chalaronne",1400,"01093","01",84,"01093_0269_00394",851022.1,6560159.25,0.43,"adresse géocodée ban à l'adresse","394 rue des lauriers","CHÂTILLON-SUR-CHALARONNE","1400",0,"","","","rdc","moyen",1,0,0,0,0,80.7,16.4,7.5,0,12.3,3.5,14.9,26,"bonne","bonne","","très bonne","","bonne","très bonne",0.54,2374,1234.4,0,1919684.4,0,1353698,0,4587.7,69,2255.1,1327.3,0,282.8,722.5,1994.6,30,980.5,577.1,0,123,314.1,143.6,2,77.5,37.5,0,8.5,20.1,"Électricité",1994.6,980.5,577.1,429.6,211.2,124.3,143.6,77.5,37.5,"","","","","","","","","","","","","","","","","","","","",429.6,211.2,124.3,0,26.5,67.7,"Électricité","PAC air/eau installée entre 2015 et 2016","installation individuelle","Plancher chauffant sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","PAC air/eau installée entre 2015 et 2016 avec programmateur avec réduit (système individuel). Emetteur(s): plancher chauffant",980.5,66.1,"","","PAC air/eau installée entre 2015 et 2016","Électricité","chauffage + ecs","Electrique - PAC air/eau installée entre 2015 et 2016",980.5,"","","","","","","","","","","","","","","","","","","","","","","","Électricité","PAC double service après 2014","","","installation individuelle","Un seul système d'ECS sans solaire","Combiné au système de chauffage",577.1,1,66.1,"Non affecté","","","","PAC double service après 2014","Électricité","chauffage + ecs","Electrique - PAC air/eau installée entre 2015 et 2016",0,2.3,577.1,"A partir de 2015","","","","","","","","","","","0","","","","","","","pompe à chaleur","","","","",0,""
"2203E0424767J","2024-06-25","2022-01-31","2022-03-02","2022-03-03","2032-03-01","","","","","","DPE 3CL 2021 méthode logement",2,"dpe appartement individuel","A","A","appartement",1978,"1978-1982","collectif","collectif",2.4,76,"",1,"","",4319,32.6,"","Lourde","inférieur à 400m","H1c","41 Rue des Potiers 03000 Moulins","41","Rue des Potiers","Moulins",3000,"03190","03",84,"03190_1870_00041",725723.67,6607661.62,0.88,"adresse géocodée ban à l'adresse","des Potiers","MOULINS","3000","","","Logement 304","","","moyen",1,0,0,1,0,14.8,0,1.6,0,0,0,7.3,5.9,"bonne","très bonne","","","","","très bonne",0.64,71,915.4,0,1121893,0,796636.8,0,2255.2,69.2,104.6,1470.6,0,139.4,540.7,1870.8,57.4,104.6,1470.6,0,60.6,235.1,137.5,4.2,7.8,110.3,0,4.2,15,"Réseau de Chauffage urbain",1575.1,104.6,1470.6,124,8,116,118.1,7.8,110.3,"Électricité",295.7,0,0,23,0,0,19.2,0,0,"","","","","","","","","","",210,8,116,0,18,68,"Réseau de Chauffage urbain","Réseau de chaleur isolé","installation collective","Radiateur bitube sans robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Installation 1",104.6,32.6,"","","Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur",104.6,"","","","","","","","","","","","","","","","","","","","","","","","Réseau de Chauffage urbain","Réseau de chaleur isolé","","","installation collective","Un seul système d'ECS sans solaire","Réseau de chaleur",1470.6,1,32.6,"Non affecté","","","","Réseau de chaleur isolé","Réseau de Chauffage urbain","chauffage + ecs","Réseau de chaleur",0,"",1470.6,"","","","","","","","","","","","0","","","","","","","","","","","",0,""
"2231E1118485X","2024-12-30","2022-05-18","2022-05-19","2022-05-20","2032-05-18","","","YT13PT2HBZWW","","","DPE 3CL 2021 méthode logement",2.1,"dpe maison individuelle","A","A","maison",1947,"avant 1948","","",3.1,"","",2,"","","",284,"","Moyenne","inférieur à 400m","H2c","10 Place de la Mairie 31140 Pechbonnieu","10","Place de la Mairie","Pechbonnieu",31140,"31410","31",76,"31410_0120_00010",576430.33,6290436.29,0.87,"adresse géocodée ban à l'adresse","de la Mairie","PECHBONNIEU","31140","","","","","","bon",0,1,0,0,1,496.3,81.9,65.5,31.8,53,8.5,67.2,188.4,"bonne","bonne","très bonne","moyenne","","bonne","très bonne",0.49,14005.5,1985.2,21912.9,6168552.1,20462473.9,7010126.6,1113183.2,19794.7,69.6,7625.6,5228.8,5005.1,1288.9,646.3,9272.4,32.6,3981.5,2273.4,2176.1,560.4,281,599.2,2.1,256.8,147.8,139.3,38.7,18,"Électricité",8094.1,2803.2,2273.4,1368,474,384,565.1,221.4,147.8,"Bois – Bûches",1178.3,1178.3,0,37.7,37.7,0,35.3,35.3,0,"","","","","","","","","","",1406,512,384,368,95,47,"Électricité","PAC air/air installée à partir de 2015","installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par fluide frigorigène","Installation de chauffage simple","Installation 2",2228.2,199.5,"","","PAC air/air installée à partir de 2015","Électricité","chauffage","Pompe à chaleur Air/Air",2228.2,"","","","","","installation individuelle","Plancher chauffant sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage avec insert ou poêle bois en appoint","Installation 1",1753.3,62,"","","Poêle bûche installé installé à partir de 2018 avec label flamme verte","Bois – Bûches","chauffage","Poêle bûche",1178.3,"PAC air/eau installée après 2017","Électricité","chauffage + ecs","Pompe à chaleur Air/Eau",575,"Électricité","Ballon électrique à accumulation horizontal","","","installation individuelle","Deux systèmes d'ECS dans une maison ou un appartement","Chauffe-eau horizontal",1824.2,1,142,"Non affecté","","","","Ballon électrique à accumulation horizontal","Électricité","ecs","Chauffe-eau horizontal",100,"",1824.2,"","","","","","","","","","","","0","PAC air/air installée à partir de 2015","Électricité","A partir de 2015","Pac air / air",199.5,2176.1,"","","","","",0,""
